person_id,message_id,message_content,age,gender,race,education,sexual_orientation,party,ideology,income,religion,marital_status,residential_area,turnout_score,response_timestamp,vote_choice
1000,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",39.0,Female,White,Some college,Heterosexual,Lean Republican,Conservative,"Under $25,000",Protestant,Prefer not to say,Suburban,84,2024-10-22 00:09:12,Trump
1001,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",29.0,Female,White,Bachelor's degree,Heterosexual,Other,Prefer not to say,"$50,000-$74,999",Prefer not to say,"Single, never married",Rural,1,2024-10-23 14:25:14,Trump
1002,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",72.0,Female,Hispanic,High school graduate,Heterosexual,Moderate Democrat,Very liberal,"$75,000-$99,999",Prefer not to say,Married,Suburban,76,2024-10-24 04:41:37,Harris
1003,5,"Again and again, MAGA justices on the Supreme Court are siding with big corporations over workers and our environment. They've weakened critical environmental rules protecting our air and water.",62.0,Male,White,Bachelor's degree,Heterosexual,Independent,Liberal,"$25,000-$49,999",Jewish,"Single, never married",Urban,27,2024-10-23 12:47:37,Trump
1004,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",19.0,Female,White,High school graduate,Heterosexual,Moderate Republican,Moderate,"Under $25,000",Agnostic,"Single, never married",Suburban,77,2024-10-22 11:55:12,Harris
1005,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",39.0,Male,White,Prefer not to say,Prefer not to say,Strong Democrat,Slightly liberal,"$150,000 or more",Agnostic,Living with partner,Urban,7,2024-10-23 15:17:37,Trump
1006,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",53.0,Male,White,Bachelor's degree,Heterosexual,Lean Democrat,Moderate,"$75,000-$99,999",Agnostic,Married,Suburban,24,2024-10-24 20:20:11,Trump
1007,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",54.0,Female,White,Graduate degree,Heterosexual,Moderate Republican,Liberal,"$50,000-$74,999",Mormon,"Single, never married",Rural,42,2024-10-23 15:12:38,Trump
1008,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",35.0,Female,Hispanic,Some college,Gay or Lesbian,Prefer not to say,Slightly liberal,"$75,000-$99,999",Protestant,Living with partner,Suburban,14,2024-10-24 20:42:31,Harris
1009,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",28.0,Male,Prefer not to say,Prefer not to say,Heterosexual,Strong Democrat,Liberal,"Under $25,000",Atheist,"Single, never married",Suburban,49,2024-10-22 19:52:22,Harris
1010,5,"Again and again, MAGA justices on the Supreme Court are siding with big corporations over workers and our environment. They've weakened critical environmental rules protecting our air and water.",33.0,Male,Multiple races,High school graduate,Heterosexual,Strong Republican,Slightly conservative,"Under $25,000",Agnostic,Married,Suburban,33,2024-10-23 07:25:55,Trump
1011,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",50.0,Prefer not to say,Prefer not to say,Some college,Heterosexual,Strong Republican,Conservative,"$25,000-$49,999",Protestant,Living with partner,Rural,64,2024-10-22 16:15:09,Trump
1012,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",18.0,Prefer not to say,Multiple races,Associate's degree,Heterosexual,Other,Slightly conservative,"$25,000-$49,999",Nothing in particular,Prefer not to say,Suburban,34,2024-10-22 21:41:27,Trump
1013,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",29.0,Non-binary,Asian,Prefer not to say,Heterosexual,Prefer not to say,Moderate,"Under $25,000",Nothing in particular,Divorced,Suburban,30,2024-10-23 13:03:18,Trump
1014,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",,Male,Asian,Some college,Heterosexual,Moderate Democrat,Liberal,"$100,000-$149,999",Catholic,"Single, never married",Prefer not to say,54,2024-10-22 20:29:14,Trump
1015,0,CONTROL - No message shown,,Female,Hispanic,Bachelor's degree,Heterosexual,Moderate Republican,Conservative,"$75,000-$99,999",Atheist,Divorced,Urban,46,2024-10-23 11:16:48,Trump
1016,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",60.0,Male,Asian,Prefer not to say,Heterosexual,Independent,Slightly conservative,"$150,000 or more",Catholic,"Single, never married",Urban,59,2024-10-22 17:07:33,Harris
1017,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",88.0,Male,White,High school graduate,Heterosexual,Moderate Democrat,Liberal,Prefer not to say,Nothing in particular,Separated,Urban,27,2024-10-23 20:47:47,Harris
1018,5,"Again and again, MAGA justices on the Supreme Court are siding with big corporations over workers and our environment. They've weakened critical environmental rules protecting our air and water.",64.0,Male,Asian,Associate's degree,Heterosexual,Strong Republican,Slightly conservative,"$100,000-$149,999",Nothing in particular,Married,Suburban,70,2024-10-22 21:32:05,Harris
1019,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",,Male,White,Some college,Heterosexual,Prefer not to say,Conservative,"$25,000-$49,999",Nothing in particular,Married,Urban,36,2024-10-22 07:29:17,Trump
1020,5,"Again and again, MAGA justices on the Supreme Court are siding with big corporations over workers and our environment. They've weakened critical environmental rules protecting our air and water.",20.0,Male,White,Graduate degree,Heterosexual,Independent,Slightly liberal,"$25,000-$49,999",Protestant,"Single, never married",Prefer not to say,41,2024-10-24 04:54:03,Trump
1021,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",56.0,Male,White,Bachelor's degree,Gay or Lesbian,Moderate Democrat,Very liberal,"Under $25,000",Catholic,Married,Suburban,26,2024-10-24 00:11:35,Trump
1022,0,CONTROL - No message shown,25.0,Female,White,Some college,Heterosexual,Strong Republican,Very conservative,"$25,000-$49,999",Protestant,"Single, never married",Urban,91,2024-10-22 02:59:21,Trump
1023,5,"Again and again, MAGA justices on the Supreme Court are siding with big corporations over workers and our environment. They've weakened critical environmental rules protecting our air and water.",31.0,Female,White,Bachelor's degree,Heterosexual,Independent,Slightly liberal,"$75,000-$99,999",Atheist,Divorced,Prefer not to say,11,2024-10-23 16:08:15,Harris
1024,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",57.0,Male,Prefer not to say,Prefer not to say,Heterosexual,Strong Republican,Conservative,"Under $25,000",Nothing in particular,"Single, never married",Suburban,5,2024-10-22 13:04:32,Trump
1025,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",67.0,Male,White,Some college,Heterosexual,Lean Republican,Conservative,"$50,000-$74,999",Atheist,Married,Urban,88,2024-10-22 23:00:55,Undecided
